"id";"name";"category";"publisher";"description";"one_month_cost";"status"
1;"The New York Times";"news";"Arthur Ochs Sulzberger Jr";"The New York Times (sometimes abbreviated to NYT) is an American daily newspaper, founded and continuously published in New York City since September 18, 1851, by The New York Times Company.";22;"active"
2;"Esquire";"art";"Esquire inc.";"Description";"12";"active";
3;"National Geographic";"nature";"the National Geographic Society";"A great magazien about nature.";49;"inactive"
6;"Mens Health";"news";"Rodale Press";"Men's Health (MH), published by Rodale Inc. in Emmaus, Pennsylvania, United States, is the world's largest men's magazine brand, with 40 editions in 47 countries. It is also the best-selling men's magazine on U.S. newsstands.";30;"inactive"
7;"Forbes";"business";"Forbes Inc";"Forbes is an American business magazine. Published bi-weekly, it features original articles on finance, industry, investing, and marketing topics. Forbes also reports on related subjects such as technology, communications, science, and law. Its headquarters is located in Jersey City, New Jersey.";55;"inactive"
17;"Газета Футбол";"sports";"Футбол";"";10;"inactive"
26;"Test Periodical Name - 2";"news";"Test Publisher 5";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin feugiat molestie congue. Nullam at dapibus dolor. Sed finibus consequat nisl, in condimentum urna eleifend sed. Aliquam sollicitudin sollicitudin libero ornare varius. Pellentesque vel dictum risus. Nulla convallis porttitor nulla, non varius risus pellentesque at. Fusce eget viverra massa, quis auctor.";0;"inactive"
30;"Test Periodical Name - 3";"science";"Test Publisher 5";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin feugiat molestie congue. Nullam at dapibus dolor. Sed finibus consequat nisl, in condimentum urna eleifend sed. Aliquam sollicitudin sollicitudin libero ornare varius. Pellentesque vel dictum risus. Nulla convallis porttitor nulla, non varius risus pellentesque at. Fusce eget viverra massa, quis auctor.";22;"inactive"
31;"Тестове періодичне видання ""Номер п'ять""";"news";"Тестовий видавець";"ლორემ იფსუმ დოლორ სით ამეთ, ჰაბეო ირაცუნდია ეთ ველ. ყუი დოლორე ცაუსაე რეგიონე ათ. მეის ერიფუით იდ ჰის, ეთ ვიმ ცონსულ ყუიდამ ნუსყუამ, ეა სუმო ესსე ფრო. ინ ველ ფოსსე.";199;"inactive"
32;"Test Periodical Name - 5";"science";"Test Publisher";"";39;"active"
36;"Test Periodical Name - 9";"business";"Test Publisher";"";77;"active"
37;"Test Periodical Name - 7";"business";"Test Publisher";"";0;"active"
38;"Test Periodical Name - 4";"business";"Test Publisher";"";125;"active"
